,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10
hog_256_20x20.csv - 10-fold CV,0.88375,0.86,0.88375,0.8775000000000001,0.8862500000000001,0.8800000000000001,0.885,0.8724999999999999,0.8774999999999998,0.86625
hog_256_20x20.csv - 70/30 Split,0.8666666666666667,0.8333333333333334,0.8875,0.8708333333333333,0.8666666666666667,0.8708333333333333,0.8625,0.8458333333333333,0.8541666666666666,0.8458333333333333
hog_256_16x16.csv - 10-fold CV,0.8800000000000001,0.8787499999999999,0.89,0.885,0.89375,0.8925000000000001,0.89375,0.88125,0.9012500000000001,0.8862500000000001
hog_256_16x16.csv - 70/30 Split,0.8666666666666667,0.8583333333333333,0.8791666666666667,0.875,0.8708333333333333,0.8791666666666667,0.8916666666666667,0.8666666666666667,0.8875,0.8541666666666666
hog_128_20x20.csv - 10-fold CV,0.85,0.8012499999999999,0.86625,0.8225000000000001,0.8525,0.8225,0.8525,0.8162499999999999,0.83125,0.81375
hog_128_20x20.csv - 70/30 Split,0.85,0.7916666666666666,0.8583333333333333,0.7958333333333333,0.8125,0.7958333333333333,0.8208333333333333,0.7875,0.7916666666666666,0.7791666666666667
hog_128_16x16.csv - 10-fold CV,0.86875,0.8087500000000001,0.865,0.83125,0.8587499999999999,0.83375,0.85625,0.85,0.8537500000000001,0.8462500000000001
hog_128_16x16.csv - 70/30 Split,0.85,0.7791666666666667,0.8291666666666667,0.8,0.8291666666666667,0.8083333333333333,0.8291666666666667,0.8166666666666667,0.8208333333333333,0.8166666666666667
vgg19_max_256.csv - 10-fold CV,0.9549999999999998,0.9450000000000001,0.96125,0.9487500000000001,0.9537500000000001,0.9525,0.9549999999999998,0.9512499999999999,0.95,0.9475
vgg19_max_256.csv - 70/30 Split,0.9208333333333333,0.9083333333333333,0.9,0.8958333333333334,0.9083333333333333,0.8916666666666667,0.8875,0.8875,0.8875,0.8916666666666667
vgg16_max_256.csv - 10-fold CV,0.9450000000000001,0.9387500000000001,0.9612499999999999,0.9424999999999999,0.9512499999999999,0.93875,0.9450000000000001,0.9412499999999999,0.94625,0.945
vgg16_max_256.csv - 70/30 Split,0.925,0.9083333333333333,0.9208333333333333,0.9041666666666667,0.9083333333333333,0.9041666666666667,0.9,0.8958333333333334,0.8958333333333334,0.8916666666666667
vgg19_avg_256.csv - 10-fold CV,0.9662499999999999,0.9625,0.9662499999999999,0.9650000000000001,0.9662500000000002,0.96,0.95875,0.9574999999999999,0.9575000000000001,0.95875
vgg19_avg_256.csv - 70/30 Split,0.9416666666666667,0.9208333333333333,0.9333333333333333,0.9166666666666666,0.9208333333333333,0.9208333333333333,0.9125,0.9041666666666667,0.9125,0.9166666666666666
vgg16_avg_256.csv - 10-fold CV,0.96125,0.9475,0.9550000000000001,0.945,0.9550000000000001,0.9512500000000002,0.95875,0.95625,0.95625,0.95625
vgg16_avg_256.csv - 70/30 Split,0.9166666666666666,0.8958333333333334,0.9208333333333333,0.9125,0.9208333333333333,0.9,0.925,0.9166666666666666,0.9166666666666666,0.9125
vgg19_max_128.csv - 10-fold CV,0.9425000000000001,0.92875,0.9487499999999999,0.94625,0.94625,0.9412499999999999,0.9425000000000001,0.9412499999999999,0.9337499999999999,0.9349999999999998
vgg19_max_128.csv - 70/30 Split,0.925,0.8875,0.9166666666666666,0.9083333333333333,0.9208333333333333,0.9,0.9166666666666666,0.9041666666666667,0.9041666666666667,0.8958333333333334
vgg16_max_128.csv - 10-fold CV,0.9487500000000001,0.9362499999999999,0.95375,0.9424999999999999,0.9512500000000002,0.9387500000000001,0.94625,0.94375,0.94375,0.93875
vgg16_max_128.csv - 70/30 Split,0.9125,0.9041666666666667,0.9208333333333333,0.8958333333333334,0.9125,0.9,0.9083333333333333,0.8958333333333334,0.9041666666666667,0.8916666666666667
vgg19_avg_128.csv - 10-fold CV,0.9337500000000001,0.9174999999999999,0.93875,0.9324999999999999,0.9374999999999998,0.9424999999999999,0.9375,0.9362499999999999,0.93875,0.93875
vgg19_avg_128.csv - 70/30 Split,0.9041666666666667,0.8958333333333334,0.9083333333333333,0.9125,0.9083333333333333,0.9083333333333333,0.9041666666666667,0.9,0.9,0.9125
vgg16_avg_128.csv - 10-fold CV,0.95625,0.9375,0.9574999999999999,0.9525,0.95375,0.9512499999999999,0.9549999999999998,0.9524999999999999,0.95625,0.95625
vgg16_avg_128.csv - 70/30 Split,0.9458333333333333,0.925,0.9291666666666667,0.9291666666666667,0.9208333333333333,0.9083333333333333,0.9166666666666666,0.9041666666666667,0.9208333333333333,0.9125
Média,0.9131770833333333,0.8904513888888888,0.9146527777777779,0.9003298611111111,0.90859375,0.8996875000000001,0.90671875,0.896875,0.9017534722222221,0.8962326388888888
Desvio Padrão,0.038922654261942184,0.0533272353662136,0.038176203373643164,0.04824798485921499,0.04229308334530195,0.04670324814915082,0.04065814097863014,0.04802107402718765,0.04542771424713115,0.049850543409683507
