,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10,Média,Desvio Padrão
vgg19_avg_256.csv - 70/30 Split,0.9541666666666667,0.9458333333333333,0.9625,0.9625,0.9625,0.9666666666666667,0.9541666666666667,0.9541666666666667,0.9541666666666667,0.9541666666666667,0.9570833333333335,0.00590726953281576
vgg19_avg_256.csv - 10-fold CV,0.945,0.9275,0.94625,0.9375,0.9425000000000001,0.9362499999999999,0.9425000000000001,0.9375,0.9375,0.93625,0.938875,0.005167506652148618
vgg16_max_256.csv - 70/30 Split,0.9333333333333333,0.9083333333333333,0.9333333333333333,0.925,0.925,0.9166666666666666,0.9333333333333333,0.9208333333333333,0.9333333333333333,0.925,0.9254166666666668,0.008003905296791075
vgg16_max_256.csv - 10-fold CV,0.9149999999999998,0.8862499999999999,0.9249999999999998,0.9112499999999999,0.9225,0.92125,0.9337500000000001,0.9275,0.93,0.9275,0.9199999999999999,0.012942179105544837
vgg16_max_128.csv - 70/30 Split,0.9166666666666666,0.9083333333333333,0.9166666666666666,0.9,0.8958333333333334,0.8958333333333334,0.9083333333333333,0.9,0.9,0.9041666666666667,0.9045833333333334,0.007324331596352868
vgg16_max_128.csv - 10-fold CV,0.8875,0.87375,0.9087500000000001,0.8975,0.90625,0.9025000000000002,0.905,0.9012500000000001,0.9099999999999999,0.9012499999999999,0.8993749999999998,0.010476909133900135
vgg16_avg_128.csv - 70/30 Split,0.9208333333333333,0.8833333333333333,0.9125,0.9,0.9125,0.9125,0.9083333333333333,0.8958333333333334,0.8958333333333334,0.8833333333333333,0.9025000000000001,0.012247448713915882
vgg16_avg_128.csv - 10-fold CV,0.9,0.88125,0.9112500000000001,0.9062500000000002,0.91625,0.9050000000000002,0.9100000000000001,0.9025000000000001,0.9012500000000001,0.89125,0.9025000000000001,0.00963392443399889
vgg19_max_256.csv - 70/30 Split,0.9458333333333333,0.9291666666666667,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.95,0.9416666666666667,0.9458333333333333,0.9375,0.9333333333333333,0.9458333333333334,0.010034662148993585
vgg19_max_256.csv - 10-fold CV,0.9324999999999999,0.9037499999999999,0.9475,0.9337500000000001,0.9375,0.93625,0.93625,0.9349999999999999,0.9337499999999999,0.9325000000000001,0.9328749999999999,0.01054825222489491
vgg16_avg_256.csv - 70/30 Split,0.95,0.9166666666666666,0.9583333333333334,0.9458333333333333,0.95,0.9333333333333333,0.95,0.9416666666666667,0.95,0.9375,0.9433333333333334,0.011211353372561426
vgg16_avg_256.csv - 10-fold CV,0.92125,0.9,0.9324999999999999,0.91875,0.9299999999999999,0.9174999999999999,0.925,0.9199999999999999,0.9274999999999999,0.9325000000000001,0.9225000000000001,0.009168560410446117
vgg19_avg_256_pca10.csv - 70/30 Split,0.9458333333333333,0.9416666666666667,0.9541666666666667,0.9458333333333333,0.9541666666666667,0.9541666666666667,0.9583333333333334,0.9416666666666667,0.9458333333333333,0.9416666666666667,0.9483333333333333,0.0059511903571190725
vgg19_avg_256_pca10.csv - 10-fold CV,0.9437500000000002,0.9275,0.95375,0.9525,0.9525,0.95,0.9550000000000001,0.95,0.9512500000000002,0.9412499999999999,0.9477500000000001,0.007901740314639565
vgg16_max_256_pca10.csv - 70/30 Split,0.95,0.9458333333333333,0.9541666666666667,0.9541666666666667,0.9583333333333334,0.9541666666666667,0.9416666666666667,0.9333333333333333,0.9375,0.925,0.9454166666666668,0.010282468899377561
vgg16_max_256_pca10.csv - 10-fold CV,0.9375,0.9174999999999999,0.94375,0.9362499999999999,0.9450000000000001,0.9362499999999999,0.93875,0.9375,0.9374999999999998,0.9375,0.93675,0.007031180555212654
vgg16_max_128_pca10.csv - 70/30 Split,0.925,0.9208333333333333,0.925,0.925,0.9291666666666667,0.9291666666666667,0.9333333333333333,0.9291666666666667,0.925,0.9291666666666667,0.9270833333333334,0.003359274061791071
vgg16_max_128_pca10.csv - 10-fold CV,0.9087499999999998,0.9037499999999999,0.9349999999999999,0.9299999999999999,0.9362499999999999,0.9375,0.9375,0.9312499999999998,0.93625,0.9337500000000001,0.9289999999999999,0.011669940016983842
vgg16_avg_128_pca10.csv - 70/30 Split,0.925,0.9166666666666666,0.9333333333333333,0.925,0.9208333333333333,0.9291666666666667,0.9291666666666667,0.9291666666666667,0.9291666666666667,0.925,0.9262500000000001,0.004583333333333353
vgg16_avg_128_pca10.csv - 10-fold CV,0.9175000000000001,0.9087500000000001,0.93625,0.93,0.93875,0.9349999999999999,0.9375000000000002,0.9375,0.9350000000000002,0.9400000000000001,0.931625,0.009795566599232527
vgg19_max_256_pca10.csv - 70/30 Split,0.9416666666666667,0.9333333333333333,0.9583333333333334,0.9541666666666667,0.9458333333333333,0.9583333333333334,0.95,0.9458333333333333,0.9541666666666667,0.9583333333333334,0.9500000000000002,0.007905694150420967
vgg19_max_256_pca10.csv - 10-fold CV,0.9349999999999999,0.9175000000000001,0.95625,0.94375,0.9525000000000002,0.9487500000000001,0.9487500000000001,0.9487500000000001,0.9574999999999999,0.9512499999999999,0.9460000000000001,0.0112611056295552
vgg16_avg_256_pca10.csv - 70/30 Split,0.9416666666666667,0.9375,0.95,0.9458333333333333,0.9541666666666667,0.9625,0.9541666666666667,0.95,0.9416666666666667,0.9416666666666667,0.9479166666666666,0.007276770498572091
vgg16_avg_256_pca10.csv - 10-fold CV,0.93625,0.9225,0.9425000000000001,0.93125,0.9337500000000001,0.9325000000000001,0.9324999999999999,0.9349999999999999,0.9337500000000001,0.9275,0.9327500000000001,0.004993746088859573
