Base - Avaliação,GaussianNB,MultinomialNB,ComplementNB
vgg19_avg_256.csv - 70/30 Split,0.95,0.9583333333333334,0.9583333333333334
vgg19_avg_256.csv - 10-fold CV,0.9512499999999999,0.9525,0.9525
vgg16_max_256.csv - 70/30 Split,0.9333333333333333,0.9625,0.9625
vgg16_max_256.csv - 10-fold CV,0.9399999999999998,0.95375,0.95375
vgg16_max_128.csv - 70/30 Split,0.9083333333333333,0.9583333333333334,0.9583333333333334
vgg16_max_128.csv - 10-fold CV,0.8675,0.945,0.945
vgg16_avg_128.csv - 70/30 Split,0.9083333333333333,0.9583333333333334,0.9583333333333334
vgg16_avg_128.csv - 10-fold CV,0.8800000000000001,0.9487499999999999,0.9487499999999999
vgg19_max_256.csv - 70/30 Split,0.9541666666666667,0.9625,0.9625
vgg19_max_256.csv - 10-fold CV,0.9450000000000001,0.95625,0.95625
vgg16_avg_256.csv - 70/30 Split,0.9375,0.9666666666666667,0.9666666666666667
vgg16_avg_256.csv - 10-fold CV,0.9325000000000001,0.95375,0.95375
vgg19_avg_256_pca10.csv - 70/30 Split,0.95,0.9375,0.9375
vgg19_avg_256_pca10.csv - 10-fold CV,0.9450000000000001,0.9262499999999999,0.9262499999999999
vgg16_max_256_pca10.csv - 70/30 Split,0.9625,0.9625,0.9625
vgg16_max_256_pca10.csv - 10-fold CV,0.9575000000000001,0.9650000000000001,0.9650000000000001
vgg16_max_128_pca10.csv - 70/30 Split,0.925,0.925,0.925
vgg16_max_128_pca10.csv - 10-fold CV,0.9337500000000001,0.9250000000000002,0.9250000000000002
vgg16_avg_128_pca10.csv - 70/30 Split,0.9458333333333333,0.9333333333333333,0.9333333333333333
vgg16_avg_128_pca10.csv - 10-fold CV,0.93,0.9325000000000001,0.9325000000000001
vgg19_max_256_pca10.csv - 70/30 Split,0.9333333333333333,0.9583333333333334,0.9583333333333334
vgg19_max_256_pca10.csv - 10-fold CV,0.9425000000000001,0.9425000000000001,0.9425000000000001
vgg16_avg_256_pca10.csv - 70/30 Split,0.9333333333333333,0.9375,0.9375
vgg16_avg_256_pca10.csv - 10-fold CV,0.93875,0.9149999999999998,0.9149999999999998
